Symbol,Security,GICS Sector,GICS Sub-Industry,CIK,wiki_ticker,new_ticker
A,Agilent Technologies,Health Care,Health Care Equipment,1090872.0,A,A
AA,Alcoa Inc,,,,AA,AA
AAL,American Airlines Group,Industrials,Airlines,6201.0,AAL,AAL
AAP,Advance Auto Parts,Consumer Discretionary,Automotive Retail,1158449.0,AAP,AAP
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",320193.0,AAPL,AAPL
ABBV,AbbVie,Health Care,Pharmaceuticals,1551152.0,ABBV,ABBV
ABC,AmerisourceBergen,Health Care,Health Care Distributors,1140859.0,ABC,ABC
ABK,Ambac Financial,,,,ABK,ABK
ABMD,Abiomed,,,,ABMD,ABMD
ABS,Albertsons,,,,ABS,ABS
ABT,Abbott,Health Care,Health Care Equipment,1800.0,ABT,ABT
ACAS,American Capital,,,,ACAS,AMBKP
ACE,Chubb,,,,ACE,ACE
ACGL,Arch Capital Group,Financials,Reinsurance,947484.0,ACGL,ACGL
ACN,Accenture,Information Technology,IT Consulting & Other Services,1467373.0,ACN,ACN
ADBE,Adobe Inc.,Information Technology,Application Software,796343.0,ADBE,ADBE
ADI,Analog Devices,Information Technology,Semiconductors,6281.0,ADI,ADI
ADM,ADM,Consumer Staples,Agricultural Products,7084.0,ADM,ADM
ADP,ADP,Information Technology,Data Processing & Outsourced Services,8670.0,ADP,ADP
ADS,Alliance Data Systems,,,,ADS,BFH
ADSK,Autodesk,Information Technology,Application Software,769397.0,ADSK,ADSK
ADT,ADT,,,,ADT,ADT
AEE,Ameren,Utilities,Multi-Utilities,1002910.0,AEE,AEE
AEP,American Electric Power,Utilities,Electric Utilities,4904.0,AEP,AEP
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,874761.0,AES,AES
AET,Aetna,,,,AET,AET
AFL,Aflac,Financials,Life & Health Insurance,4977.0,AFL,AFL
AGN,Allergan,,,,AGN,AGN
AIG,American International Group,Financials,Property & Casualty Insurance,5272.0,AIG,AIG
